segment_id,n_pixels,centroid_row,centroid_col,centroid_x,centroid_y,mean_B2,mean_B3,mean_B4,mean_B8,mean_NDVI,mean_B11,mean_NDBI
1,1397,27.103079,3258.703,203257.03125,3381009.0,481.1972,636.19257,639.46313,2667.2417,0.62913674,1822.671,-0.15929466
2,1375,45.463272,3290.237,203572.375,3380825.25,600.6898,752.4309,750.6865,2686.844,0.5506939,1823.2246,-0.16029353
3,1671,60.98803,3241.56,203085.59375,3380670.0,322.55624,424.5799,393.27856,2419.9036,0.717819,1822.3909,-0.119582646
4,1322,70.74962,3313.6157,203806.15625,3380572.5,600.48566,766.82526,805.9304,2184.6348,0.39366853,1823.6405,-0.012645373
5,1371,72.04887,3209.2903,202762.90625,3380559.5,408.1838,547.6998,673.6364,2152.4062,0.53774714,1821.8386,-0.06875817
6,1476,83.25407,3277.5427,203445.421875,3380447.5,402.22562,528.4939,485.37262,2819.2397,0.7025222,1823.0231,-0.19029698
7,1594,110.38143,3255.3105,203223.109375,3380176.25,322.23462,452.6076,435.39963,2444.9414,0.6968089,1822.6519,-0.12140799
8,1383,109.44685,2870.8596,199378.59375,3380185.5,499.98193,703.7947,802.4512,2159.0833,0.45832577,1816.0096,-0.06516124
9,1642,109.39951,3215.6309,202826.3125,3380186.0,337.43546,475.06516,442.3505,2641.3176,0.7192072,1821.966,-0.1539299
10,1164,115.98024,2839.652,199066.515625,3380120.25,529.7122,731.317,789.3436,2060.762,0.43500566,1815.4736,-0.035838343
11,1756,111.611046,3312.7769,203797.765625,3380164.0,392.22607,531.6879,508.18222,2054.6287,0.52297217,1823.6453,0.010097323
12,1231,128.65881,2807.5417,198745.421875,3379993.5,557.88385,755.67993,797.48413,2047.7408,0.4287605,1814.925,-0.026622022
13,1247,131.51483,2770.9512,198379.515625,3379964.75,472.14435,651.10583,695.46674,1731.7048,0.39794153,1814.2943,0.06050805
14,1396,139.53581,2894.7056,199617.0625,3379884.75,587.4692,813.1096,869.1239,2167.9126,0.4187316,1816.436,-0.05795124
15,1527,143.04388,3277.4302,203444.296875,3379849.5,188.43779,318.12344,253.13687,2391.043,0.80971414,1823.0496,-0.12151696
