label_id,year,segment_id,class_hint,class_hint_name,class,centroid_x,centroid_y,mean_B2,mean_B3,mean_B4,mean_B8,mean_NDVI,mean_NDBI,mean_B11
1,2016,7195,1,Built-up,3,218167.953125,3354040.0,775.2167,963.19086,1072.0059,1867.3556,0.27521926,0.00060158345,1842.318
2,2016,26,1,Built-up,1,197685.171875,3379792.25,1257.1963,1512.3966,1630.9618,1857.062,0.052325077,0.013458633,1798.9537
3,2016,7519,1,Built-up,1,215918.6875,3352705.75,738.67426,914.7459,1000.1138,1804.7808,0.29449555,0.016049746,1837.7876
4,2016,5669,1,Built-up,1,213466.140625,3359238.5,942.093,1112.6001,1249.843,1708.2277,0.15730743,0.04055338,1832.42
5,2016,753,1,Built-up,1,189620.546875,3374934.5,796.1159,975.8407,1095.3082,1716.4194,0.22044511,0.028467324,1782.7068
6,2016,6142,1,Built-up,1,215055.9375,3357594.0,805.95746,924.76984,1026.2626,1339.6759,0.13331616,0.16385385,1835.7618
7,2016,5608,1,Built-up,1,215488.0,3359427.5,805.82874,943.2321,1010.0185,1700.5865,0.2584827,0.04702967,1836.548
8,2016,6237,1,Built-up,1,214629.0,3357301.75,775.1413,918.16406,1026.2213,1525.6832,0.20325951,0.099558294,1834.9038
9,2016,1872,2,Dense Vegetation,2,180106.5625,3370748.0,283.88553,524.091,387.05536,2268.3843,0.7120003,-0.11638187,1763.4673
10,2016,3297,2,Dense Vegetation,2,187546.75,3366347.75,204.5325,392.67725,306.10635,1995.6462,0.73960483,-0.047085498,1778.9639
11,2016,5003,2,Dense Vegetation,2,211307.90625,3361412.0,358.87564,514.7461,389.4753,2303.8843,0.69922966,-0.09427106,1827.8851
12,2016,6830,2,Dense Vegetation,2,202368.546875,3355363.25,299.84976,444.05634,311.12863,2194.056,0.75099075,-0.09091538,1809.9254
13,2016,3838,2,Dense Vegetation,2,226174.59375,3364795.0,228.54,376.79187,356.45966,2274.0103,0.7312038,-0.0905613,1858.1451
14,2016,2632,2,Dense Vegetation,2,182653.28125,3368331.0,248.20877,439.8215,358.4733,2197.177,0.72182965,-0.100065716,1768.8274
15,2016,3903,2,Dense Vegetation,2,182255.71875,3364615.75,229.44115,412.08887,399.30243,1915.8473,0.6626252,-0.0054511963,1768.2356
16,2016,605,2,Dense Vegetation,2,203078.609375,3375678.25,318.69974,481.97025,429.0054,2167.1934,0.6791073,-0.0786734,1810.2423
17,2016,1468,3,Mixed Veg / Cropland,2,179641.703125,3372070.5,480.75534,692.0656,661.5733,1784.7126,0.46351126,0.032659512,1762.4353
18,2016,1656,3,Mixed Veg / Cropland,3,179035.03125,3371461.75,607.8244,878.13464,882.11957,2181.761,0.42326844,-0.09732261,1761.2296
19,2016,7228,3,Mixed Veg / Cropland,1,222391.265625,3353940.0,615.1336,821.01556,858.8898,2052.3003,0.41516364,-0.045926224,1850.9633
20,2016,7152,3,Mixed Veg / Cropland,1,221087.03125,3354197.25,663.52106,855.53284,906.6532,1977.1704,0.37348863,-0.025625257,1848.2815
21,2016,5537,3,Mixed Veg / Cropland,3,198608.375,3359673.75,607.306,884.22266,976.69055,2235.5315,0.3964073,-0.10236373,1801.9901
22,2016,7458,3,Mixed Veg / Cropland,3,224236.53125,3352958.5,568.52136,755.63837,862.79895,1839.3751,0.37794775,0.008641987,1854.7891
23,2016,496,3,Mixed Veg / Cropland,3,188081.296875,3376298.75,685.14465,918.0536,957.9013,1945.7405,0.34855065,-0.01663466,1779.4725
24,2016,6564,3,Mixed Veg / Cropland,3,210850.625,3356200.0,731.52057,946.6743,1027.6411,2007.119,0.3256709,-0.0343755,1827.232
25,2016,603,4,Bare / Open Land,4,185904.9375,3375668.0,1280.6522,1526.0526,1662.865,1954.175,0.08073124,-0.032098103,1775.0503
26,2016,4346,4,Bare / Open Land,4,196934.421875,3363368.25,1083.1578,1282.355,1418.6265,1962.0531,0.17229348,-0.033660334,1798.3542
27,2016,1676,4,Bare / Open Land,4,177137.421875,3371402.5,1296.75,1539.3962,1653.1842,1872.596,0.067444675,-0.022113815,1757.3469
28,2016,5699,4,Bare / Open Land,4,215254.828125,3359114.0,888.31213,1030.3298,1118.8732,1645.3894,0.19348498,0.062266458,1836.0875
29,2016,7599,4,Bare / Open Land,4,223748.15625,3352296.5,1399.9062,1665.657,1865.7646,2171.9368,0.083599426,-0.07787299,1853.8242
30,2016,6879,4,Bare / Open Land,1,212843.53125,3355210.5,934.54236,1114.5198,1262.4407,1724.59,0.15231402,0.038569756,1831.3628
31,2016,6388,4,Bare / Open Land,4,215855.328125,3356783.5,912.49884,1080.3531,1212.4952,1740.3983,0.18393391,0.038569026,1837.4408
32,2016,6059,4,Bare / Open Land,4,217354.625,3357885.0,926.5368,1091.932,1238.4828,1717.4418,0.16625293,0.04121944,1840.4503
33,2016,1269,5,Water,5,179790.390625,3372743.0,783.24365,1024.9468,1095.4601,1450.3228,0.1155544,0.14296114,1762.6992
34,2016,6052,5,Water,1,215249.125,3357886.0,754.8723,879.1793,962.7746,1394.5472,0.17999753,0.14699261,1836.1415
35,2016,1503,5,Water,5,180024.09375,3371955.0,458.6365,660.96173,458.75424,947.54895,0.08359863,0.42688665,1763.2255
36,2016,6043,5,Water,1,214195.296875,3357939.5,842.3324,974.69275,1094.5405,1488.7954,0.15570132,0.10873895,1833.982
37,2016,1414,5,Water,5,178977.1875,3372272.0,860.80927,1105.4216,1205.5806,1492.8721,0.06784939,0.14385451,1761.0621
38,2016,1635,5,Water,5,180236.453125,3371462.75,392.94113,588.9465,459.38126,1260.8287,0.20009734,0.3262129,1763.6901
39,2016,5968,5,Water,3,215445.296875,3358199.0,768.5735,873.192,959.3658,1287.5977,0.14863886,0.1842215,1836.5262
40,2016,6013,5,Water,1,214549.1875,3358023.5,859.8269,994.8199,1113.3285,1472.0542,0.14063115,0.117905095,1834.7018
